-1	-1	63	-3	-1	0	0
0	0	62	-3	-1	0	0
-1	-1	61	-3	0	0	0
-1	-1	63	-2	-1	0	0
-1	-1	63	-3	-1	0	0
-1	-1	63	-3	-1	0	0
-1	-1	63	-3	0	0	0
-1	-1	63	-3	-1	0	0
-1	-1	63	-3	-1	0	0
-1	-1	61	-3	0	0	0
-1	-1	61	-3	0	0	0
-1	-1	64	-3	-1	0	0
-1	-1	64	-3	-1	0	0
-1	-1	60	-3	0	0	0
-1	0	64	-2	-1	0	0
-1	-1	63	-2	-1	0	0
-1	-1	63	-3	-1	0	0
-1	-1	61	-3	0	0	0
0	-4	63	1	0	0	0
0	-1	59	-2	0	-1	0
-3	3	57	-8	-3	-1	0
-1	3	70	-10	-2	-1	0
0	-3	61	0	0	0	0
0	-2	53	-1	-2	0	0
0	-3	66	1	4	0	0
-3	3	58	-10	-5	0	0
-1	-1	66	-4	-2	0	0
-1	-2	67	-3	-1	0	0
0	1	66	-6	-3	-1	0
-1	-1	59	-3	-4	0	0
-1	0	57	-5	-3	0	0
0	-3	63	-1	0	0	0
-1	1	51	-4	-1	-1	0
-1	-2	68	-2	-2	0	0
-1	-1	65	-6	1	0	0
0	0	61	-5	-2	0	0
-1	1	61	-6	0	-1	0
0	-3	57	3	-4	0	0
-1	-1	59	-4	-4	0	0
1	-3	65	-1	1	0	0
-1	2	64	-7	-2	0	0
-1	1	66	-7	-3	-1	0
-1	0	61	-5	-5	0	0
-1	0	65	-6	-2	-1	0
-1	0	54	-4	-3	0	0
0	-1	59	-2	-1	-1	0
0	-3	61	-1	2	0	0
-2	1	56	-6	-3	0	0
1	-3	64	-1	4	0	0
-1	1	62	-7	1	-1	0
-1	0	60	-9	-5	-1	0
1	1	56	-5	0	0	0
1	-1	66	-4	2	1	0
-2	5	64	-15	-2	0	0
-1	2	58	-8	-4	0	0
0	1	70	-9	-2	-1	0
-1	1	64	-8	-6	-1	0
0	-1	67	-6	0	-1	0
0	-2	63	-4	0	0	0
